x_over_L,P_over_Pt,Mach,ro,u,P
2.32142851e-01,8.47579479e-01,4.91964728e-01,1.22934723e+00,1.67567764e+02,1.01873117e+05
2.32142851e-01,8.47333550e-01,4.92454439e-01,1.22909224e+00,1.67727631e+02,1.01843562e+05
2.32142851e-01,8.47088993e-01,4.92940933e-01,1.22883868e+00,1.67886414e+02,1.01814164e+05
2.36111119e-01,8.47143412e-01,4.92847294e-01,1.22889543e+00,1.67856049e+02,1.01820711e+05
2.36111119e-01,8.47399056e-01,4.92336482e-01,1.22916031e+00,1.67689301e+02,1.01851438e+05
2.36111119e-01,8.47656727e-01,4.91821498e-01,1.22942734e+00,1.67521164e+02,1.01882406e+05
2.40079388e-01,8.47720325e-01,4.91697431e-01,1.22949338e+00,1.67480682e+02,1.01890047e+05
2.40079388e-01,8.47450197e-01,4.92238879e-01,1.22921324e+00,1.67657501e+02,1.01857578e+05
2.40079388e-01,8.47182631e-01,4.92775261e-01,1.22893608e+00,1.67832626e+02,1.01825422e+05
2.44047627e-01,8.47767770e-01,4.91596073e-01,1.22954226e+00,1.67447525e+02,1.01895750e+05
2.44047627e-01,8.47484827e-01,4.92165297e-01,1.22924876e+00,1.67633438e+02,1.01861742e+05
2.44047627e-01,8.47204804e-01,4.92728442e-01,1.22895956e+00,1.67817261e+02,1.01828086e+05
2.48015881e-01,8.47797632e-01,4.91520882e-01,1.22957313e+00,1.67422760e+02,1.01899344e+05
2.48015881e-01,8.47500920e-01,4.92119163e-01,1.22926557e+00,1.67618179e+02,1.01863680e+05
2.48015881e-01,8.47208083e-01,4.92709875e-01,1.22896278e+00,1.67811050e+02,1.01828484e+05
2.51984119e-01,8.47496510e-01,4.92104322e-01,1.22926092e+00,1.67613007e+02,1.01863148e+05
2.51984119e-01,8.47190440e-01,4.92723674e-01,1.22894359e+00,1.67815308e+02,1.01826359e+05
2.51984119e-01,8.47807467e-01,4.91475970e-01,1.22958362e+00,1.67407715e+02,1.01900523e+05
2.55952388e-01,8.47795367e-01,4.91465420e-01,1.22957110e+00,1.67403793e+02,1.01899070e+05
2.55952388e-01,8.47469449e-01,4.92125034e-01,1.22923291e+00,1.67619293e+02,1.01859898e+05
2.55952388e-01,8.47149491e-01,4.92774278e-01,1.22890091e+00,1.67831406e+02,1.01821438e+05
2.59920627e-01,8.47759008e-01,4.91494268e-01,1.22953379e+00,1.67412567e+02,1.01894695e+05
2.59920627e-01,8.47417653e-01,4.92186219e-01,1.22917879e+00,1.67638702e+02,1.01853672e+05
2.59920627e-01,8.47082794e-01,4.92866188e-01,1.22883165e+00,1.67860825e+02,1.01813422e+05
2.63888866e-01,8.47695112e-01,4.91567820e-01,1.22946775e+00,1.67435791e+02,1.01887016e+05
2.63888866e-01,8.47337782e-01,4.92293030e-01,1.22909689e+00,1.67672775e+02,1.01844070e+05
2.63888866e-01,8.46988201e-01,4.93004143e-01,1.22873378e+00,1.67905136e+02,1.01802055e+05
2.67857105e-01,8.46862316e-01,4.93194073e-01,1.22860372e+00,1.67966217e+02,1.01786922e+05
2.67857105e-01,8.47227156e-01,4.92451549e-01,1.22898233e+00,1.67723618e+02,1.01830773e+05
2.67857105e-01,8.47600579e-01,4.91692454e-01,1.22936988e+00,1.67475586e+02,1.01875656e+05
2.71825403e-01,8.47471654e-01,4.91875052e-01,1.22923565e+00,1.67534180e+02,1.01860164e+05
2.71825403e-01,8.47081780e-01,4.92668033e-01,1.22883165e+00,1.67793228e+02,1.01813297e+05
2.71825403e-01,8.46701682e-01,4.93442506e-01,1.22843754e+00,1.68046249e+02,1.01767617e+05
2.75793672e-01,8.47304583e-01,4.92123038e-01,1.22906220e+00,1.67613937e+02,1.01840078e+05
2.75793672e-01,8.46897721e-01,4.92950112e-01,1.22864068e+00,1.67884109e+02,1.01791180e+05
2.75793672e-01,8.46502483e-01,4.93756145e-01,1.22823155e+00,1.68147385e+02,1.01743672e+05
2.79761910e-01,8.47094178e-01,4.92444307e-01,1.22884452e+00,1.67717392e+02,1.01814789e+05
2.79761910e-01,8.46671224e-01,4.93305087e-01,1.22840607e+00,1.67998581e+02,1.01763953e+05
2.79761910e-01,8.46261263e-01,4.94142085e-01,1.22798169e+00,1.68271957e+02,1.01714680e+05
2.83730179e-01,8.45973551e-01,4.94607747e-01,1.22768331e+00,1.68422363e+02,1.01680102e+05
2.83730179e-01,8.46397758e-01,4.93740976e-01,1.22812271e+00,1.68139267e+02,1.01731086e+05
2.83730179e-01,8.46836925e-01,4.92847204e-01,1.22857749e+00,1.67847351e+02,1.01783867e+05
2.87698418e-01,8.46528292e-01,4.93340731e-01,1.22825801e+00,1.68006668e+02,1.01746773e+05
2.87698418e-01,8.46073329e-01,4.94266182e-01,1.22778583e+00,1.68308945e+02,1.01692094e+05
2.87698418e-01,8.45635176e-01,4.95161474e-01,1.22733247e+00,1.68601273e+02,1.01639430e+05
2.91666657e-01,8.46163213e-01,4.93934661e-01,1.22788024e+00,1.68198532e+02,1.01702898e+05
2.91666657e-01,8.45692933e-01,4.94889021e-01,1.22739327e+00,1.68510071e+02,1.01646367e+05
2.91666657e-01,8.45242262e-01,4.95811790e-01,1.22692442e+00,1.68811539e+02,1.01592203e+05
2.95634896e-01,8.45736504e-01,4.94638592e-01,1.22743773e+00,1.68426102e+02,1.01651609e+05
2.95634896e-01,8.45254660e-01,4.95619863e-01,1.22693634e+00,1.68746628e+02,1.01593695e+05
2.95634896e-01,8.44791055e-01,4.96563226e-01,1.22645891e+00,1.69054337e+02,1.01537969e+05
2.99603164e-01,8.44275117e-01,4.97428328e-01,1.22592533e+00,1.69333984e+02,1.01475961e+05
2.99603164e-01,8.44749331e-01,4.96462703e-01,1.22641754e+00,1.69018784e+02,1.01532953e+05
2.99603164e-01,8.45244944e-01,4.95460480e-01,1.22692871e+00,1.68691910e+02,1.01592523e+05
3.03571403e-01,8.44676912e-01,4.96411711e-01,1.22634256e+00,1.68999359e+02,1.01524250e+05
3.03571403e-01,8.44173968e-01,4.97432947e-01,1.22582185e+00,1.69332550e+02,1.01463805e+05
3.03571403e-01,8.43691707e-01,4.98413235e-01,1.22532010e+00,1.69652496e+02,1.01405836e+05
3.07539672e-01,8.44029427e-01,4.97502059e-01,1.22567046e+00,1.69352036e+02,1.01446430e+05
3.07539672e-01,8.43522847e-01,4.98535603e-01,1.22514570e+00,1.69689255e+02,1.01385539e+05
3.07539672e-01,8.43041480e-01,4.99527454e-01,1.22464705e+00,1.70012939e+02,1.01327688e+05
3.11507910e-01,8.43305171e-01,4.98743027e-01,1.22492087e+00,1.69753525e+02,1.01359375e+05
3.11507910e-01,8.42798591e-01,4.99784440e-01,1.22439587e+00,1.70093338e+02,1.01298492e+05
3.11507910e-01,8.42314720e-01,5.00778377e-01,1.22389412e+00,1.70417587e+02,1.01240336e+05
3.15476209e-01,8.41502190e-01,5.02172351e-01,1.22304976e+00,1.70868484e+02,1.01142672e+05
3.15476209e-01,8.41983497e-01,5.01181185e-01,1.22354913e+00,1.70545181e+02,1.01200523e+05
3.15476209e-01,8.42490733e-01,5.00140727e-01,1.22407651e+00,1.70205704e+02,1.01261492e+05
3.19444448e-01,8.41581106e-01,5.01703024e-01,1.22313392e+00,1.70710922e+02,1.01152156e+05
3.19444448e-01,8.41080248e-01,5.02733231e-01,1.22261310e+00,1.71046967e+02,1.01091961e+05
3.19444448e-01,8.40606332e-01,5.03713608e-01,1.22212052e+00,1.71366776e+02,1.01035000e+05
3.23412716e-01,8.40570927e-01,5.03435373e-01,1.22208035e+00,1.71271317e+02,1.01030742e+05
3.23412716e-01,8.40080082e-01,5.04448354e-01,1.22157049e+00,1.71601624e+02,1.00971742e+05
3.23412716e-01,8.39617670e-01,5.05410314e-01,1.22108960e+00,1.71915375e+02,1.00916164e+05
3.27380955e-01,8.39474261e-01,5.05340636e-01,1.22095120e+00,1.71886749e+02,1.00898930e+05
3.27380955e-01,8.38997483e-01,5.06327808e-01,1.22045565e+00,1.72208557e+02,1.00841625e+05
3.27380955e-01,8.38550329e-01,5.07263482e-01,1.21998978e+00,1.72513733e+02,1.00787883e+05
3.31349224e-01,8.37346137e-01,5.09280086e-01,1.21871150e+00,1.73165894e+02,1.00643141e+05
3.31349224e-01,8.37771356e-01,5.08381844e-01,1.21915329e+00,1.72873016e+02,1.00694250e+05
3.31349224e-01,8.38226676e-01,5.07431865e-01,1.21962535e+00,1.72563461e+02,1.00748977e+05
3.35245848e-01,8.37451577e-01,5.08790493e-01,1.21886992e+00,1.72999069e+02,1.00655820e+05
3.35246652e-01,8.36988389e-01,5.09744525e-01,1.21838605e+00,1.73309921e+02,1.00600148e+05
3.35247427e-01,8.36559832e-01,5.10641754e-01,1.21793878e+00,1.73602371e+02,1.00548633e+05
3.39075953e-01,8.35745811e-01,5.11677384e-01,1.21706164e+00,1.73932465e+02,1.00450797e+05
