x_over_L,P_over_Pt,Mach,ro,u,P
3.15476209e-01,2.18394607e-01,1.65000057e+00,4.00720984e-01,4.55772369e+02,2.18394609e+04
3.15476209e-01,2.18394741e-01,1.65000057e+00,4.00720984e-01,4.55772522e+02,2.18394746e+04
3.19444448e-01,2.18394622e-01,1.65000069e+00,4.00721043e-01,4.55772400e+02,2.18394629e+04
3.19444448e-01,2.18394831e-01,1.64999974e+00,4.00721014e-01,4.55772400e+02,2.18394824e+04
3.19444448e-01,2.18394682e-01,1.65000010e+00,4.00720984e-01,4.55772339e+02,2.18394688e+04
3.23412716e-01,2.18394667e-01,1.65000057e+00,4.00721073e-01,4.55772430e+02,2.18394668e+04
3.23412716e-01,2.18394682e-01,1.65000081e+00,4.00720924e-01,4.55772583e+02,2.18394688e+04
3.23412716e-01,2.18394741e-01,1.64999962e+00,4.00720984e-01,4.55772278e+02,2.18394746e+04
3.27380955e-01,2.18394652e-01,1.65000081e+00,4.00721103e-01,4.55772430e+02,2.18394648e+04
3.27380955e-01,2.18394682e-01,1.65000057e+00,4.00720924e-01,4.55772522e+02,2.18394688e+04
3.27380955e-01,2.18394622e-01,1.65000021e+00,4.00720984e-01,4.55772339e+02,2.18394629e+04
3.31349224e-01,2.18394592e-01,1.65000093e+00,4.00721043e-01,4.55772430e+02,2.18394590e+04
3.31349224e-01,2.18394727e-01,1.65000021e+00,4.00721133e-01,4.55772339e+02,2.18394727e+04
3.31349224e-01,2.18394786e-01,1.65000010e+00,4.00720984e-01,4.55772430e+02,2.18394785e+04
3.35305840e-01,2.18394831e-01,1.64999962e+00,4.00721192e-01,4.55772278e+02,2.18394824e+04
3.35306019e-01,2.18394786e-01,1.65000010e+00,4.00721163e-01,4.55772339e+02,2.18394785e+04
3.35306078e-01,2.18394786e-01,1.65000010e+00,4.00721043e-01,4.55772400e+02,2.18394785e+04
3.35306257e-01,2.18394727e-01,1.64999998e+00,4.00721103e-01,4.55772308e+02,2.18394727e+04
