role,L_c,M_K,n_axis,hard_gate,error,x_K,ell_K,xi_K,s_K,Mpp_sign_changes,single_peak,theta_max_deg,min_mu_minus_theta_deg,flip_interior,topology_margin,downstream_max_dkds,downstream_J_dkds2,Mppp_jump,max_Mppp,J_axis
sweep,45.0,3.0,600,True,,5.6911992306455605,5.2665945163709615,0.11703543369713248,0.1510064372023717,1,True,14.566766983892302,2.018832891844345,0,0.06693074387540611,0.5218691284390923,0.09489561246276643,0.05468320342733613,0.18291990585440424,0.028303058979879732
sweep,45.0,3.1,600,True,,6.007262431521292,5.582657717246693,0.12405906038325985,0.14714335528749578,1,True,15.140577532012836,1.9867086764953297,0,0.06768779606500279,0.6645716265209917,0.09981149959728061,0.047747914454802094,0.16869765794812347,0.025119844228468913
sweep,45.0,3.2,600,True,,6.327256994796619,5.90265228052202,0.1311700506782671,0.14323222230264293,1,True,15.705053191754155,1.914738100727142,0,0.06838595371600556,1.0477790871785657,0.1322048118078179,0.04188103500785731,0.15624905921836896,0.02245266557945525
sweep,45.0,3.3,600,True,,6.65133337644404,6.226728662169441,0.1383717480482098,0.13927119929989742,1,True,16.259920194379106,1.8150693176411032,0,0.06928156168445716,0.8181070699941404,0.11428997044025488,0.036881013029660334,0.14527374823594336,0.02019574919996963
sweep,45.0,3.4,600,True,,6.979651881305275,6.555047167030676,0.14566771482290392,0.13525832695366516,1,True,16.80401779691357,1.6852850142455402,0,0.06940490894433214,0.4835777718976101,0.09952592894926066,0.03259105527005769,0.1355337081796012,0.018268888301199188
sweep,45.0,3.5,600,True,,7.312383590024671,6.887778875750072,0.15306175279444606,0.13119151423107733,1,True,17.33771237853414,1.532066313281769,0,0.06888004021791408,0.5982616793479599,0.10464971552260693,0.02888777722989131,0.12683816783370877,0.01661042293165388
sweep,45.0,3.6,600,True,,7.64971140127215,7.225106686997551,0.16055792637772334,0.12706852565346088,1,True,17.860991846212563,1.3606003208247812,0,0.06792726090381267,0.7904564822420719,0.12964904409994454,0.025673062962903094,0.11903263197169886,0.015172355998146177
sweep,45.0,3.7,600,True,,7.991831207263692,7.567226492989093,0.16816058873309095,0.12288696692855128,1,True,18.373692660733283,1.1729572914194333,0,0.0667535150180135,1.473339451091832,0.27456895514172175,0.022868139718908855,0.11199079327832238,0.01391689745234688
sweep,45.0,3.8,600,True,,8.338953224027781,7.914348509753182,0.1758744113278485,0.11864426869127968,1,True,18.87783205142023,0.9711520890503728,0,0.06555253783447958,1.208770963030157,0.2640354492786029,0.020409205964578236,0.10560848795911593,0.012813980945974817
sweep,45.0,3.9,600,True,,8.691303502079231,8.266698787804632,0.1837044175067696,0.11433766803963728,1,True,19.371775536164105,0.7568041058481153,0,0.06368282333830129,1.9653476229029303,0.4371526440466342,0.018244165215253676,0.09979912246915404,0.011839453854432993
sweep,45.0,4.0,600,True,,9.049125648323715,8.624520934049116,0.191656020756647,0.1099641874887136,1,True,19.853117634309804,0.531117113796402,0,0.06164734622641409,3.2728188482807705,1.1573966280991461,0.016330157899911543,0.09449017371561197,0.010973740788701992
sweep,50.0,1.5,600,False,,1.3680355499983032,0.9434308357237047,0.018868616714474092,0.18346166789327636,1,True,13.91875821813282,1.9236595356642303,0,0.051921027980627484,37.26665954153332,321.11148793864425,2.29164331825029,3.0102601330546856,2.2299516363440097
