stage,L_c,M_K,n_axis,robust,hard_gate,single_peak,x_F,x_E,xF_minus_xE,theta_max_deg,min_mu_minus_theta_deg,min_sin_angle_interior,flip_interior,crossings
fine,39.0,2.74,600,False,True,True,94.13772159402696,39.4246047142746,54.713116879752356,16.115662202102307,0.9925464867680891,0.059404237317785824,0,0
fine,39.0,2.76,600,False,True,True,94.1377216016809,39.4246047142746,54.713116887406294,16.14512921228029,0.9943827527669528,0.059581548528401314,0,0
fine,39.0,2.78,600,False,True,True,94.13772160944895,39.4246047142746,54.713116895174345,16.177284308035134,0.9929439438601743,0.059619023485250416,0,0
fine,39.0,2.8,600,False,True,True,94.13772161733294,39.4246047142746,54.71311690305834,16.20775471762648,0.9920775631564345,0.05980053027098847,0,0
fine,39.0,2.82,600,False,True,True,94.13772162533479,39.4246047142746,54.71311691106019,16.236686542510594,0.9917479704393227,0.05984261778141752,0,0
fine,39.0,2.84,600,False,True,True,94.13772163345598,39.4246047142746,54.71311691918138,16.26684743239245,0.9878260079088339,0.05992057274483642,0,0
fine,39.0,2.86,600,False,True,True,94.1377216416991,39.4246047142746,54.7131169274245,16.30607198717911,0.9818327730340454,0.060074314419677415,0,0
fine,39.0,2.88,600,False,True,True,94.13772165006466,39.4246047142746,54.71311693579006,16.343668169158654,0.9764153819760935,0.06015958315986435,0,0
fine,39.0,2.9,600,False,True,True,94.13772165855532,39.4246047142746,54.71311694428072,16.37962962601303,0.9715176536555691,0.06031439419668513,0,0
fine,39.0,2.92,600,False,True,True,94.13772166717291,39.4246047142746,54.71311695289831,16.414169948731637,0.963014139746401,0.060408171415089806,0,0
fine,39.0,2.94,600,False,True,True,94.13772167591937,39.4246047142746,54.713116961644765,16.454573371533254,0.9523055964046879,0.060563810357131174,0,0
fine,39.0,2.96,600,False,True,True,94.13772168479714,39.4246047142746,54.71311697052254,16.498654883758764,0.9421367981042229,0.06062789692651623,0,0
fine,39.0,2.98,600,False,True,True,94.13772169380725,39.4246047142746,54.71311697953265,16.541244518977503,0.9326514545070033,0.06080193679195735,0,0
fine,39.0,3.0,600,False,True,True,94.13772170295242,39.4246047142746,54.71311698867782,16.58242051826258,0.9216335094762074,0.06089433981486203,0,0
fine,39.0,3.02,600,False,True,True,94.13772171223489,39.4246047142746,54.71311699796029,16.62223827359871,0.9060029414104622,0.06100264538875807,0,0
fine,39.0,3.04,600,False,True,True,94.13772172165604,39.4246047142746,54.713117007381435,16.670592866078383,0.89118352634823,0.061171065308661336,0,0
fine,39.0,3.06,600,False,True,True,94.13772173121853,39.4246047142746,54.71311701694393,16.719312889847185,0.8770917403920001,0.06128731846862205,0,0
fine,39.0,3.08,600,False,True,True,94.13772174092487,39.4246047142746,54.71311702665027,16.766645609621598,0.8634583239219665,0.06144119731627921,0,0
fine,39.0,3.1,600,False,True,True,94.13772175077703,39.4246047142746,54.71311703650243,16.812608906134866,0.8457348374285085,0.06153719717136832,0,0
fine,39.05,2.5,600,False,True,True,94.14812256346325,39.4746047142746,54.67351784918865,15.906613288362681,0.9059510211845665,0.058303884756606826,0,0
fine,39.05,2.52,600,False,True,True,94.1481225731101,39.4746047142746,54.6735178588355,15.91398759628353,0.9171766619013871,0.05845921388417106,0,0
fine,39.05,2.54,600,False,True,True,94.14812258290192,39.4746047142746,54.67351786862732,15.923659099023979,0.9271120662596704,0.058471666797819885,0,0
fine,39.05,2.56,600,False,True,True,94.14812259283904,39.4746047142746,54.67351787856445,15.931770757141194,0.9377310685133107,0.05863043816505127,0,0
fine,39.05,2.58,600,False,True,True,94.14812260292426,39.4746047142746,54.67351788864966,15.938414894602776,0.9491190248409118,0.05864683520390794,0,0
fine,39.05,2.6,600,False,True,True,94.14812261316023,39.4746047142746,54.67351789888563,15.955385369924455,0.961170840317714,0.058809107785013415,0,0
fine,39.05,2.62,600,False,True,True,94.14812262354833,39.4746047142746,54.673517909273734,15.972936900712885,0.9678116007562299,0.05882957014352272,0,0
fine,39.05,2.64,600,False,True,True,94.14812263409148,39.4746047142746,54.67351791981688,15.988923296367556,0.9751120458684558,0.058995555750692874,0,0
fine,39.05,2.66,600,False,True,True,94.14812264479185,39.4746047142746,54.67351793051726,16.003345054077265,0.9830066343841045,0.059020156900342784,0,0
fine,39.05,2.68,600,False,True,True,94.14812265565078,39.4746047142746,54.67351794137618,16.026827081318384,0.991457321168773,0.05918986127894005,0,0
fine,39.05,2.7,600,False,True,True,94.14812266667178,39.4746047142746,54.673517952397184,16.05203864540895,0.9940942264342575,0.05921873389991689,0,0
fine,39.05,2.72,600,False,True,True,94.14812267785706,39.4746047142746,54.67351796358246,16.07568636262881,0.9972464212026654,0.05939230767230386,0,0
fine,39.05,2.74,600,True,True,True,94.14812268920869,39.4746047142746,54.67351797493409,16.097849650109094,1.0012225281397389,0.059425540360836665,0,0
fine,39.05,2.76,600,True,True,True,94.14812270072838,39.4746047142746,54.67351798645378,16.12526873491504,1.0042043153749596,0.05960318213173106,0,0
fine,39.05,2.78,600,True,True,True,94.14812271242006,39.4746047142746,54.67351799814546,16.157845216394627,1.0024317853450162,0.05964090583735352,0,0
fine,39.05,2.8,600,True,True,True,94.14812272428497,39.4746047142746,54.673518010010376,16.188853048321533,1.0012461160545552,0.059821834031065946,0,0
fine,39.05,2.82,600,True,True,True,94.14812273632677,39.4746047142746,54.67351802205217,16.2183650089651,1.0006841507590418,0.05986497707289281,0,0
fine,39.05,2.84,600,False,True,True,94.14812274854803,39.4746047142746,54.673518034273435,16.24683775187137,0.9979610899601209,0.060048574913073034,0,0
